Date,HomeTeam,AwayTeam,home_xG,away_xG,home_xGA,away_xGA
2024-11-24 14:00:00,Southampton,Liverpool,1.53985,3.18835,3.18835,1.53985
2024-11-25 20:00:00,Newcastle,West Ham,1.49781,0.942824,0.942824,1.49781
2024-11-29 20:00:00,Brighton,Southampton,1.86986,0.934969,0.934969,1.86986
2024-11-30 15:00:00,Brentford,Leicester,2.21885,0.907555,0.907555,2.21885
2024-11-30 15:00:00,Crystal Palace,Newcastle,2.29595,0.020989,0.020989,2.29595
2024-11-30 15:00:00,Nott'm Forest,Ipswich,1.76587,0.462771,0.462771,1.76587
2024-11-30 17:30:00,West Ham,Arsenal,1.23539,3.99935,3.99935,1.23539
2024-11-30 15:00:00,Wolves,Bournemouth,0.866034,3.07901,3.07901,0.866034
2024-12-01 13:30:00,Chelsea,Aston Villa,1.94939,0.875443,0.875443,1.94939
2024-12-01 16:00:00,Liverpool,Man City,3.70054,0.745015,0.745015,3.70054
2024-12-01 13:30:00,Man United,Everton,1.76161,0.766749,0.766749,1.76161
2024-12-01 13:30:00,Tottenham,Fulham,1.01086,1.57274,1.57274,1.01086
2024-12-03 19:30:00,Ipswich,Crystal Palace,0.471708,1.65422,1.65422,0.471708
2024-12-03 20:15:00,Leicester,West Ham,2.78061,2.87716,2.87716,2.78061
2024-12-04 20:15:00,Arsenal,Man United,2.96684,0.256083,0.256083,2.96684
2024-12-04 20:15:00,Aston Villa,Brentford,3.21673,1.13266,1.13266,3.21673
2024-12-04 19:30:00,Everton,Wolves,1.49904,0.847724,0.847724,1.49904
2024-12-04 19:30:00,Man City,Nott'm Forest,3.20169,0.802155,0.802155,3.20169
2024-12-04 19:30:00,Newcastle,Liverpool,1.52057,2.22766,2.22766,1.52057
2024-12-04 19:30:00,Southampton,Chelsea,1.91014,5.8331,5.8331,1.91014
2024-12-05 20:15:00,Bournemouth,Tottenham,3.27716,0.623934,0.623934,3.27716
2024-12-05 19:30:00,Fulham,Brighton,0.666644,1.09939,1.09939,0.666644
2024-12-07 15:00:00,Aston Villa,Southampton,2.51338,0.385832,0.385832,2.51338
